Vokabeln (vokabel.csv);;;;;
V1.0: Flashcards. set_id = Kapitel/Set. translation darf gemischt sein (Übersetzung + einfache Erklärung).;;;;;
set_id;lemma;translation;example;de_hint;tags
basic;der Stift;pen / zum Schreiben;Ich habe einen Stift.;"Nomen;der";Schule
basic;die Pause;break / Zeit ohne Unterricht;In der Pause essen wir.;"Nomen;die";Schule
basic;lesen;to read / Wörter verstehen;Ich lese gern.;Verb;Verb
basic;laufen;to run / im Sportunterricht;Ich laufe jeden Tag vor der Schule 15 Minuten.;Verb;Freizeit
basic;essen;to eat / einen Döner oder eine Pizza;Ich esse gerne einen Döner.;Verb;Freizeit
basic;fahren;to drive / ein Auto;Ich fahre mit dem Auto zur Schule.;Verb;Freizeit
basiv;klettern;to climb / in den Bergen;Ich gehe in den Bergen klettern.;Verb;Freizeit
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
